E_L93	N_L93	nb_m2	g_m2	Nb_0.25m2	g_0.25m2	Points	Annee
378858.534	6404767.736	0	0	0	0,0	S4_13	2003
378309.546	6405667.23	46	279.825310608232	23	139.912655304116	S4_14	2003
379111.784	6404031.769	0	0	0	0,0	S4_15	2003
379512.062	6406161.567	30	248.6	15	124.3	S4_16	2003
379834.744	6404198.611	0	0	0	0,0	S4_17	2003
379890.484	6404770.413	26	228.017559873569	13	114.008779936785	S4_18	2003
379558.978	6405528.894	0	0	0	0,0	S4_19	2003
379793.459	6404942.22	0	0	0	0,0	S4_2	2003
379150.422	6404011.248	0	0	0	0,0	S4_20	2003
378557.579	6406117.904	18	87	9	43.5	S4_21	2003
379650.828	6403707.524	0	0	0	0,0	S4_22	2003
379635.737	6403671.223	0	0	0	0,0	S4_23	2003
379090.048	6403866.048	0	0	0	0,0	S4_24	2003
378558.538	6404078.73	4	22.32	2	11.16	S4_25	2003
379752.799	6404406.72	4	18	2	9,0	S4_26	2003
378145.261	6405045.412	0	0	0	0,0	S4_27	2003
379988.759	6405914.692	18	33.0113452206595	9	16.5056726103298	S4_28	2003
380077.981	6404556.904	0	0	0	0,0	S4_29	2003
379465.365	6404477.064	0	0	0	0,0	S4_3	2003
379766.876	6404165.013	10	80.4187479499894	5	40.2093739749947	S4_30	2003
379678.581	6405281.777	0	0	0	0,0	S4_31	2003
379293.42	6406024.485	32	268.4	16	134.2	S4_32	2003
378672.035	6404999.77	4	33.5931313516596	2	16.7965656758298	S4_33	2003
378416.286	6406199.323	2	12.2	1	6.1	S4_35	2003
378961.746	6406004.441	0	0	0	0,0	S4_37	2003
379391.023	6404833.087	0	0	0	0,0	S4_38	2003
379534.57	6405826.742	0	0	0	0,0	S4_39	2003
379093.657	6405997.666	36	317.6	18	158.8	S4_4	2003
379517.993	6403955.319	6	14.64	3	7.32	S4_40	2003
378886.509	6406341.98	40	290.583548887557	20	145.291774443778	S4_41	2003
378947.745	6403928.967	0	0	0	0,0	S4_42	2003
379156.204	6404381.701	14	115.2	7	57.6	S4_43	2003
379197.193	6405695.752	0	0	0	0,0	S4_44	2003
379092.038	6404162.545	12	124.4	6	62.2	S4_45	2003
379171.207	6404158.481	2	0.2	1	0.1	S4_46	2003
379264.521	6404172.23	0	0	0	0,0	S4_47	2003
378283.724	6404908.52	12	141	6	70.5	S4_48	2003
379639.078	6405543.324	0	0	0	0,0	S4_49	2003
379296.436	6403762.769	4	2.62	2	1.31	S4_5	2003
379865.807	6404030.185	0	0	0	0,0	S4_50	2003
